"module name","license","repository"
"@babel/plugin-proposal-private-methods@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-unicode-property-regex@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-unicode-property-regex@7.8.8","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-unicode-property-regex"
"@babel/plugin-syntax-async-generators@7.8.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators"
"@babel/plugin-syntax-class-properties@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-decorators@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-decorators"
"@babel/plugin-syntax-dynamic-import@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import"
"@babel/plugin-syntax-flow@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-flow"
"@babel/plugin-syntax-json-strings@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings"
"@babel/plugin-syntax-jsx@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-jsx"
"@babel/plugin-syntax-nullish-coalescing-operator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator"
"@babel/plugin-syntax-numeric-separator@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-numeric-separator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-numeric-separator"
"@babel/plugin-syntax-object-rest-spread@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread"
"@babel/plugin-syntax-optional-catch-binding@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-catch-binding"
"@babel/plugin-syntax-optional-chaining@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining"
"@babel/plugin-syntax-top-level-await@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-top-level-await@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-top-level-await"
"@babel/plugin-syntax-typescript@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-typescript"
"@babel/plugin-transform-arrow-functions@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-arrow-functions@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-arrow-functions"
"@babel/plugin-transform-async-to-generator@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-async-to-generator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-async-to-generator"
"@babel/plugin-transform-block-scoped-functions@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-block-scoped-functions@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-block-scoped-functions"
"@babel/plugin-transform-block-scoping@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-block-scoping@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-block-scoping"
"@babel/plugin-transform-classes@7.10.3","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-classes@7.9.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-classes"
"@babel/plugin-transform-computed-properties@7.10.3","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-computed-properties@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-computed-properties"
"@babel/plugin-transform-destructuring@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-destructuring@7.9.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-destructuring"
"@babel/plugin-transform-dotall-regex@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-dotall-regex@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-dotall-regex"
"@babel/plugin-transform-duplicate-keys@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-duplicate-keys@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-duplicate-keys"
"@babel/plugin-transform-exponentiation-operator@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-exponentiation-operator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-exponentiation-operator"
"@babel/plugin-transform-flow-strip-types@7.9.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-flow-strip-types"
"@babel/plugin-transform-for-of@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-for-of@7.9.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-for-of"
"@babel/plugin-transform-function-name@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-function-name@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-function-name"
"@babel/plugin-transform-literals@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-literals@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-literals"
"@babel/plugin-transform-member-expression-literals@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-member-expression-literals@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-member-expression-literals"
"@babel/plugin-transform-modules-amd@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-amd@7.9.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-modules-amd"
"@babel/plugin-transform-modules-commonjs@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-commonjs@7.9.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-modules-commonjs"
"@babel/plugin-transform-modules-systemjs@7.10.3","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-systemjs@7.9.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-modules-systemjs"
"@babel/plugin-transform-modules-umd@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-umd@7.9.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-modules-umd"
"@babel/plugin-transform-named-capturing-groups-regex@7.10.3","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-named-capturing-groups-regex@7.8.3","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-new-target@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-new-target@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-new-target"
"@babel/plugin-transform-object-super@7.10.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-object-super@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-object-super"
